id,customer,num_items,total,has_laptop,status
68,María,4,53550,True,cancelled
69,Carlos,2,3600,False,completed
70,María,3,950,False,completed
71,Pedro,3,3900,False,completed
72,Carlos,2,100500,True,cancelled
73,Juan,4,3850,False,cancelled
74,Carlos,1,1200,False,completed
75,Lucía,1,800,False,cancelled
76,Juan,5,52500,False,cancelled
77,Pedro,3,102400,True,cancelled
78,Juan,2,26700,False,completed
79,Carlos,1,2400,False,completed
80,María,3,12900,False,completed
81,Ana,2,26700,False,completed
82,Ana,2,4200,False,cancelled
83,Lucía,5,101350,True,cancelled
84,Juan,2,1500,False,completed
85,María,4,5650,False,completed
86,Pedro,3,3600,False,cancelled
87,María,4,19500,False,cancelled
88,Lucía,5,7600,False,completed
89,Ana,1,700,False,completed
90,Carlos,5,6000,False,cancelled
91,Lucía,2,4800,False,completed
92,Ana,4,27550,True,cancelled
93,Pedro,2,26700,False,completed
94,Pedro,4,4750,False,completed
95,Juan,5,12100,False,completed
96,Ana,1,800,False,completed
97,Ana,3,17300,False,cancelled
98,María,1,2400,False,completed
99,María,4,5250,False,completed
100,Ana,3,75950,True,cancelled
101,Lucía,1,3600,False,completed
102,Lucía,1,1800,False,completed
103,Carlos,1,150,False,completed
104,Carlos,5,55400,True,cancelled
105,Juan,3,3350,False,completed
106,Lucía,2,4000,False,cancelled
107,Pedro,4,10150,False,completed
108,Pedro,3,76250,True,cancelled
109,Carlos,4,79550,True,cancelled
110,Juan,4,32500,False,cancelled
111,Ana,5,51250,True,cancelled
112,Juan,3,27900,False,completed
113,Carlos,2,19400,False,cancelled
114,Ana,4,76700,True,cancelled
115,María,4,26650,True,cancelled
116,María,2,2100,False,completed
117,María,1,1600,False,completed
118,Ana,1,800,False,completed
119,María,5,48600,True,completed
120,Pedro,5,46150,False,cancelled
121,María,3,9300,False,cancelled
122,Carlos,5,4600,False,cancelled
123,Juan,1,600,False,completed
124,Pedro,5,159700,True,cancelled
125,Carlos,5,12900,False,cancelled
126,Carlos,4,45700,False,cancelled
127,Carlos,2,29100,False,cancelled
128,María,3,27600,False,cancelled
129,Ana,5,60950,True,cancelled
130,Lucía,2,9550,False,cancelled
131,Pedro,5,45800,True,cancelled
132,Carlos,3,5850,False,cancelled
133,Ana,1,450,False,completed
134,Lucía,3,12550,False,completed
135,María,4,10550,False,completed
136,María,3,92350,True,cancelled
137,Juan,5,15200,False,cancelled
138,Lucía,3,20000,False,completed
139,Pedro,4,79100,True,cancelled
140,Ana,3,75850,True,cancelled
141,María,2,9100,False,cancelled
142,María,2,9700,False,cancelled
143,Juan,4,5000,False,completed
144,Lucía,1,17000,False,completed
145,Carlos,2,4800,False,completed
146,Carlos,1,2400,False,completed
147,Pedro,3,151600,True,cancelled
148,Ana,4,18800,False,cancelled
149,María,3,1650,False,cancelled
150,Pedro,3,54650,True,cancelled
151,Juan,3,35900,True,cancelled
152,Lucía,5,27250,True,completed
153,Carlos,2,3600,False,completed
154,Pedro,3,19750,False,completed
155,Ana,1,1800,False,completed
156,Ana,4,20450,False,completed
157,Pedro,1,2400,False,completed
158,Pedro,1,25500,False,completed
159,Lucía,4,7750,False,cancelled
160,Pedro,4,1050,False,completed
161,Lucía,3,3050,False,completed
162,Carlos,4,29500,False,completed
163,Carlos,4,43150,False,cancelled
164,Carlos,5,128750,True,cancelled
165,Lucía,1,25000,True,completed
166,Ana,4,12200,False,completed
167,Carlos,2,5200,False,completed
168,Ana,4,76800,True,cancelled
169,Lucía,2,2550,False,completed
170,Carlos,4,10850,False,cancelled
171,Ana,2,76800,True,cancelled
172,Pedro,4,14850,False,cancelled
173,Carlos,3,52800,True,cancelled
174,Juan,1,2400,False,completed
175,Lucía,5,29550,False,completed
176,Pedro,3,11700,False,completed
177,Pedro,1,50000,True,cancelled
178,Ana,4,13150,False,cancelled
179,Ana,3,26650,False,cancelled
180,María,5,104600,True,cancelled
181,Pedro,1,17000,False,completed
182,Ana,5,13600,False,cancelled
183,Pedro,5,74200,True,cancelled
184,Carlos,4,57800,True,cancelled
185,Lucía,5,60150,False,cancelled
186,María,2,10900,False,completed
187,Lucía,1,150,False,cancelled
188,Ana,4,94800,True,cancelled
189,María,3,12400,False,cancelled
190,Lucía,1,700,False,completed
191,Pedro,5,179650,True,cancelled
192,Carlos,5,33050,True,cancelled
193,Carlos,2,2600,False,cancelled
194,Pedro,3,18250,False,cancelled
195,Ana,4,20650,False,cancelled
196,Lucía,4,13100,False,completed
197,Pedro,2,2850,False,completed
198,Ana,1,450,False,cancelled
199,Pedro,4,79350,True,cancelled
200,María,3,4400,False,completed
201,María,2,1650,False,completed
202,Juan,3,27800,True,cancelled
203,Ana,5,44950,True,cancelled
204,Ana,4,36950,True,cancelled
205,Juan,4,51050,True,cancelled
206,María,4,82700,True,cancelled
207,Pedro,1,1200,False,cancelled
208,Carlos,1,350,False,completed
209,Juan,5,6550,False,completed
210,Pedro,3,3900,False,completed
211,Ana,4,10600,False,cancelled
212,Ana,5,81400,True,cancelled
213,Pedro,1,25000,True,completed
214,María,3,37600,False,cancelled
215,Pedro,2,1800,False,completed
216,Carlos,2,1150,False,completed
217,Juan,4,10150,False,cancelled
218,Lucía,3,20600,False,completed
219,Juan,2,75350,True,cancelled
220,Carlos,5,175750,True,cancelled
221,Pedro,4,44850,True,cancelled
222,Juan,2,17450,False,completed
223,Juan,4,54750,True,cancelled
224,Ana,1,350,False,completed
225,Ana,5,55750,True,cancelled
226,María,3,56000,True,cancelled
227,Ana,2,1350,False,completed
228,Ana,5,48000,False,cancelled
229,Ana,2,75800,True,cancelled
230,Lucía,2,2150,False,cancelled
231,Juan,4,5000,False,cancelled
232,Pedro,2,650,False,completed
233,Juan,4,5700,False,completed
234,Juan,3,75850,True,cancelled
235,Lucía,2,25300,True,cancelled
236,Pedro,5,105250,True,cancelled
237,Pedro,1,75000,True,cancelled
238,María,2,26700,False,completed
239,Ana,3,5600,False,completed
240,María,4,92500,True,cancelled
241,Pedro,2,18050,False,completed
242,Carlos,4,2250,False,completed
243,María,5,69550,True,cancelled
244,Ana,4,77250,True,cancelled
245,Lucía,3,75450,True,cancelled
246,Lucía,5,31800,True,cancelled
247,Lucía,3,50650,True,cancelled
248,Carlos,2,78600,True,cancelled
249,Ana,3,14500,False,cancelled
250,Juan,5,31500,False,cancelled
251,Ana,4,135300,True,cancelled
252,Lucía,5,68500,True,cancelled
253,María,2,1300,False,completed
254,María,1,2400,False,completed
255,María,5,104850,True,cancelled
256,Lucía,2,3000,False,completed
257,María,4,4150,False,completed
258,Lucía,4,27250,True,cancelled
259,Ana,2,9300,False,completed
260,Carlos,1,1600,False,cancelled
261,María,2,25500,False,completed
262,Juan,2,1050,False,completed
263,Ana,3,42850,False,cancelled
264,Ana,1,600,False,completed
265,Pedro,5,61300,True,cancelled
266,María,4,47400,True,completed
267,Pedro,2,26100,False,cancelled
268,Lucía,3,27750,False,cancelled
269,Carlos,1,17000,False,completed
270,Juan,5,15150,False,completed
271,Ana,1,1200,False,completed
272,Ana,2,4300,False,completed
273,Lucía,1,25500,False,cancelled
274,Lucía,3,69400,True,cancelled
275,Ana,2,8950,False,completed
276,María,3,84550,True,cancelled
277,Carlos,4,101500,True,cancelled
278,Ana,3,5800,False,completed
279,Carlos,4,100950,True,cancelled
280,María,2,1150,False,completed
281,Ana,4,125600,True,cancelled
282,Pedro,2,83500,True,cancelled
283,Juan,3,26100,False,completed
284,Lucía,2,28600,True,cancelled
285,Carlos,1,1800,False,completed
286,Carlos,4,5600,False,completed
287,Pedro,2,8800,False,cancelled
288,Ana,5,35650,False,completed
289,Lucía,2,17800,False,completed
290,Lucía,2,4300,False,cancelled
291,Pedro,4,6650,False,completed
292,María,3,150700,True,cancelled
293,Ana,5,3800,False,cancelled
294,Ana,1,800,False,completed
295,Lucía,2,2400,False,completed
296,Juan,3,51200,True,completed
297,Carlos,2,18600,False,cancelled
298,Juan,5,53700,True,cancelled
299,María,5,22500,False,cancelled
300,Juan,4,56000,True,cancelled
301,Carlos,3,28950,False,completed
302,Juan,2,3200,False,cancelled
303,María,1,25000,True,completed
304,Juan,4,27150,False,completed
305,Lucía,4,14300,False,completed
306,Lucía,2,1950,False,completed
307,Carlos,3,100450,True,cancelled
308,Pedro,2,3100,False,completed
309,Ana,2,9300,False,cancelled
310,Lucía,4,5500,False,completed
311,Ana,3,27250,False,completed
312,Juan,3,28200,False,completed
313,Juan,2,75000,True,cancelled
314,Juan,2,50800,True,cancelled
315,Ana,1,600,False,completed
316,Ana,4,22150,False,completed
317,Pedro,1,25000,True,completed
318,María,3,27600,True,completed
319,María,4,2000,False,completed
320,María,1,1800,False,completed
321,María,3,78100,True,cancelled
322,Carlos,3,100150,True,cancelled
323,Lucía,2,17150,False,cancelled
324,Juan,3,77200,True,cancelled
325,Pedro,5,7900,False,cancelled
326,Juan,3,77750,True,cancelled
327,Pedro,2,600,False,completed
328,Juan,3,1300,False,cancelled
329,Lucía,1,25000,True,completed
330,Pedro,1,1200,False,completed
331,Juan,4,3650,False,completed
332,Juan,3,4650,False,completed
333,Carlos,2,17350,False,completed
334,Pedro,3,2900,False,completed
335,María,1,150,False,completed
336,María,3,101550,True,cancelled
337,Pedro,3,50950,True,completed
338,Pedro,4,109800,True,cancelled
339,Ana,2,2650,False,completed
340,Lucía,3,28250,False,cancelled
341,María,3,18200,False,cancelled
342,Carlos,4,20750,False,cancelled
343,Ana,1,50000,True,completed
344,Lucía,2,2550,False,completed
345,Pedro,3,2450,False,completed
346,Juan,3,1800,False,completed
347,Lucía,1,3600,False,cancelled
348,Pedro,5,142150,True,cancelled
349,Pedro,4,30200,True,completed
350,Ana,3,77000,True,cancelled
351,Juan,3,23000,False,completed
352,Juan,2,2850,False,completed
353,Juan,5,39500,True,completed
354,Lucía,4,11300,False,completed
355,Ana,3,3750,False,completed
356,Pedro,4,101400,True,cancelled
357,María,3,5000,False,completed
358,Juan,1,300,False,completed
359,Juan,2,27900,False,cancelled
360,Carlos,1,300,False,completed
361,Carlos,5,30600,False,completed
362,Ana,1,450,False,completed
363,Pedro,1,2400,False,completed
364,María,5,5200,False,completed
365,Carlos,4,150700,True,cancelled
366,Pedro,4,29400,False,cancelled
367,Pedro,2,50800,True,completed
368,Ana,5,81750,True,cancelled
369,Carlos,1,1050,False,completed
370,Lucía,3,28200,True,cancelled
371,María,5,47150,False,completed
372,Juan,3,26250,False,completed
373,Lucía,4,101500,True,cancelled
374,Lucía,1,25000,True,cancelled
375,Ana,2,25350,True,completed
376,Pedro,1,50000,True,cancelled
377,Juan,3,4650,False,completed
378,Juan,5,24800,False,cancelled
379,María,5,102850,True,cancelled
380,María,1,150,False,completed
381,Pedro,4,3250,False,cancelled
382,Lucía,1,600,False,completed
383,Lucía,1,2400,False,completed
384,Juan,5,112000,True,cancelled
385,Lucía,3,76400,True,cancelled
386,María,1,300,False,completed
387,Ana,1,450,False,cancelled
388,Ana,5,78700,True,cancelled
389,Juan,3,17500,False,completed
390,Juan,3,3650,False,completed
391,Lucía,2,1800,False,completed
392,María,1,1600,False,completed
393,Lucía,5,85600,True,cancelled
394,Juan,3,28750,True,cancelled
395,Carlos,4,77250,True,cancelled
396,Juan,2,300,False,completed
397,Pedro,4,95200,True,cancelled
398,María,1,25500,False,cancelled
399,Juan,4,94400,True,cancelled
400,Juan,2,75150,True,completed
401,Pedro,4,22500,False,completed
402,Ana,2,1350,False,completed
403,Juan,1,8500,False,completed
404,Pedro,3,25950,True,completed
405,Carlos,1,300,False,completed
406,Juan,1,450,False,completed
407,Juan,5,4700,False,cancelled
408,Carlos,4,6050,False,completed
409,Ana,4,3850,False,cancelled
410,Carlos,1,25500,False,completed
411,Juan,3,3500,False,completed
412,Pedro,4,13300,False,completed
413,Carlos,1,25500,False,cancelled
414,Pedro,3,29800,True,cancelled
415,María,5,30250,False,cancelled
416,Ana,3,9450,False,completed
417,Lucía,3,2150,False,completed
418,Carlos,5,54500,True,cancelled
419,Pedro,4,36050,True,completed
420,Carlos,1,600,False,completed
421,Carlos,5,105050,True,cancelled
422,Carlos,4,125650,True,cancelled
423,Carlos,1,3600,False,cancelled
424,Ana,4,12900,False,cancelled
425,Juan,4,3400,False,completed
426,Carlos,2,2750,False,completed
427,Pedro,2,8950,False,completed
428,Lucía,5,20300,False,cancelled
429,Pedro,2,2700,False,cancelled
430,María,5,29950,False,cancelled
431,Carlos,5,78550,True,cancelled
432,Juan,3,3950,False,completed
433,Lucía,4,27050,False,cancelled
434,Lucía,2,1200,False,cancelled
435,Carlos,1,150,False,completed
436,María,5,53750,True,cancelled
437,Juan,5,112600,True,cancelled
438,Ana,1,25500,False,completed
439,María,5,13250,False,cancelled
440,Carlos,1,2400,False,completed
441,María,5,46400,False,cancelled
442,Ana,5,159300,True,cancelled
443,Juan,3,3800,False,completed
444,Carlos,1,2400,False,completed
445,Juan,1,3600,False,cancelled
446,Pedro,2,1350,False,completed
447,Juan,1,350,False,completed
448,Ana,5,151500,True,cancelled
449,Pedro,4,44900,False,cancelled
450,Carlos,5,64000,True,cancelled
451,Lucía,2,3900,False,completed
452,Juan,4,96300,True,cancelled
453,Ana,1,2400,False,cancelled
454,Juan,2,25650,False,cancelled
455,Lucía,5,79900,True,cancelled
456,Ana,1,1050,False,completed
457,Lucía,2,10900,False,completed
458,Pedro,2,3100,False,completed
459,María,5,6700,False,cancelled
460,Pedro,4,62100,True,cancelled
461,Pedro,4,8300,False,cancelled
462,Lucía,1,150,False,completed
463,Lucía,5,69950,True,cancelled
464,Carlos,4,22800,False,cancelled
465,Carlos,2,2400,False,completed
466,Carlos,1,1600,False,cancelled
467,Ana,2,700,False,cancelled
468,Pedro,3,20750,False,cancelled
469,Ana,2,1500,False,cancelled
470,Carlos,2,2800,False,completed
471,María,1,50000,True,completed
472,Ana,2,3000,False,completed
473,Juan,3,11200,False,completed
474,Ana,1,1200,False,completed
475,Carlos,4,29800,True,cancelled
476,Juan,2,51600,True,cancelled
477,Pedro,2,75350,True,cancelled
478,Juan,5,226050,True,cancelled
479,María,2,4050,False,cancelled
480,Lucía,2,3450,False,completed
481,Ana,1,800,False,completed
482,Ana,1,1600,False,completed
483,Lucía,5,30650,True,completed
484,Lucía,2,3000,False,cancelled
485,María,3,30400,True,completed
486,María,2,33500,True,cancelled
487,Ana,3,1650,False,cancelled
488,Juan,3,44100,False,cancelled
489,Lucía,1,25000,True,completed
490,Lucía,2,8950,False,completed
491,Juan,1,600,False,cancelled
492,María,2,9200,False,cancelled
493,Ana,2,9700,False,completed
494,Pedro,2,26100,False,cancelled
495,Ana,2,34000,False,completed
496,María,4,30150,False,cancelled
497,Ana,5,54050,True,cancelled
498,Lucía,3,87100,True,cancelled
499,María,5,11250,False,completed
500,Lucía,4,92350,True,cancelled
